Sample:float,Data:float,Data2:float
"341.0","1.7704761028289795","1.7342123985290527"
"342.0","1.7712819576263428","1.735018253326416"
"343.0","1.7704761028289795","1.735018253326416"
"344.0","1.7704761028289795","1.7342123985290527"
"345.0","1.7704761028289795","1.735018253326416"
"346.0","1.7704761028289795","1.735018253326416"
"347.0","1.7712819576263428","1.7358239889144897"
"348.0","1.7712819576263428","1.7358239889144897"
"349.0","1.7696702480316162","1.735018253326416"
"350.0","1.7704761028289795","1.735018253326416"
"351.0","1.7704761028289795","1.7342123985290527"
"352.0","1.7704761028289795","1.735018253326416"
"353.0","1.7696702480316162","1.735018253326416"
"354.0","1.7704761028289795","1.7342123985290527"
"355.0","1.7704761028289795","1.7358239889144897"
"356.0","1.7704761028289795","1.7358239889144897"
"357.0","1.7712819576263428","1.7358239889144897"
"358.0","1.7704761028289795","1.735018253326416"
"359.0","1.7704761028289795","1.7342123985290527"
"360.0","1.7712819576263428","1.7342123985290527"
"361.0","1.7712819576263428","1.735018253326416"
"362.0","1.7704761028289795","1.7342123985290527"
"363.0","1.7712819576263428","1.735018253326416"
"364.0","1.7704761028289795","1.735018253326416"
"365.0","1.7696702480316162","1.735018253326416"
"366.0","1.7704761028289795","1.735018253326416"
"367.0","1.7704761028289795","1.735018253326416"
"368.0","1.772087812423706","1.735018253326416"
"369.0","1.7712819576263428","1.7358239889144897"
"370.0","1.7696702480316162","1.7358239889144897"
"371.0","1.7704761028289795","1.735018253326416"
"372.0","1.7704761028289795","1.735018253326416"
"373.0","1.7704761028289795","1.735018253326416"
"374.0","1.768864393234253","1.7358239889144897"
"375.0","1.7696702480316162","1.7342123985290527"
"376.0","1.7704761028289795","1.735018253326416"
